2631,6,이태원,Itaewon,梨泰院
2632,6,한강진,Hangangjin,汉江镇
2633,6,버티고개,Beotigogae,波堤岭
2634,6,약수,Yaksu,药水
2635,6,청구,Cheonggu,青丘
2636,6,신당,Sindang,新堂
2637,6,동묘앞,Dongmyo,东庙
2638,6,창신,Changsin,昌信
2639,6,보문,Bomun,普门
2640,6,안암,Anam ,安岩
2641,6,고려대,Korea Univ. ,高丽大学
2642,6,월곡,Wolgok ,月谷
2643,6,상월곡,Sangwolgok ,上月谷
2644,6,돌곶이,Dolgoji,石串
2645,6,석계,Seokgye,石溪
2646,6,태릉입구,Taereung,泰陵
2647,6,화랑대,Hwarangdae ,花郞台
2648,6,봉화산,Bonghwasan ,烽火山
2711,7,장암,Jangam,长岩
2712,7,도봉산,Dobongsan,道峰山
2713,7,수락산,Suraksan,水落山
2714,7,마들,Madeul,马得
2715,7,노원,Nowon,芦原
2716,7,중계,Junggye,中溪
2717,7,하계,Hagye,下溪
2718,7,공릉,Gongneung ,孔陵
2719,7,태릉입구,Taereung,泰陵
2720,7,먹골,Meokgol,墨谷
2721,7,중화,Junghwa,中和
2722,7,상봉,Sangbong ,上凤
2723,7,면목,Myeonmok,面牧
2724,7,사가정,Sagajeong,四佳亭
2725,7,용마산,Yongmasan,龙马山
2726,7,중곡,Junggok,中谷
2727,7,군자,Gunja ,君子
2728,7,어린이대공원,Children's Grand Park ,儿童大公园
2729,7,건대입구,Konkuk Univ.,建国大学
2730,7,뚝섬유원지,Ttukseom Park,纛岛游园地
2731,7,청담,Cheongdam,清潭
2732,7,강남구청,Gangnam-gu Office,江南区厅
2733,7,학동,Hakdong,鹤洞
2734,7,논현,Nonhyeon,论岘
2735,7,반포,Banpo,盘浦
2736,7,고속터미널,Express Bus Terminal,高速巴士客运站
2737,7,내방,Naebang,內方
2738,7,이수,Isu,梨水
2739,7,남성,Namseong,南城
2740,7,숭실대입구,Soongsil Univ. ,崇实大学
2741,7,상도,Sangdo,上道
2742,7,장승배기,Jangseungbaegi,长丞拜基
2743,7,신대방삼거리,Sindaebangsamgeori,新大方丁字路口
2744,7,보라매,Boramae,波拉美
2745,7,신풍,Sinpung,新丰
2746,7,대림,Daerim ,大林
2747,7,남구로,Namguro,南九老
2748,7,가산디지털단지,Gasan Digital Complex,加山数码园区
2749,7,철산,Cheolsan,铁山
2750,7,광명사거리,Gwangmyeongsageori,光明十字路口
2751,7,천왕,Cheonwang,天旺
2752,7,온수,Onsu ,温水
2753,7,까치울,Kkachiul,喜鹊屋
2754,7,부천종합운동장,Bucheon Stadium,富川综合运动场
2755,7,춘의,Chunui,春衣
2756,7,신중동,Shinjungdong,新中洞
2757,7,부천시청,Bucheon City Hall,富川市厅
2758,7,상동,Sangdong,上洞
2759,7,삼산체육관,Samsan Gymnasium,三山体育馆
2760,7,굴포천,Gulpocheon,掘浦川
2761,7,부평구청,Bupyeong-gu Office,富平区厅
2811,8,암사,Amsa,岩寺
2812,8,천호,Cheonho ,千戶
2813,8,강동구청,Gangdong-gu Office,江东区厅
2814,8,몽촌토성,Mongchontoseong ,梦村土城
2815,8,잠실,Jamsil ,蚕室
2816,8,석촌,Seokchon,石村
2817,8,송파,Songpa,松坡
2818,8,가락시장,Garak Market,可乐市场
2819,8,문정,Munjeong,文井
2820,8,장지,Jangji,长旨
2821,8,복정,Bokjeong,福井
2822,8,산성,Sanseong,山城
2823,8,남한산성입구,Namhansanseong  ,南汉山城
2824,8,단대오거리,Dandaeogeori,丹垈五岔路口
2825,8,신흥,Sinheung,新兴
2826,8,수진,Sujin,寿进
2827,8,모란,Moran,牡丹
